                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache misses                 |       1846 |        467 |        411 |        639 |       1066 |        399 |       1965 |        994 |       2097 |       1130 |      22351 |      18196 |      22370 |      16776 |        517
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.02% |      0.04% |      0.02% |      0.05% |      0.04% |      0.06% |      0.04% |      0.08%
    mpki                             |       0.19 |       0.11 |       0.00 |       0.01 |       0.01 |       0.00 |       0.02 |       0.01 |       0.02 |       0.01 |       0.06 |       0.05 |       0.06 |       0.05 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836701 |    3848699 |   56692558 |   56681267 |  115948441 |   56848927 |   21193086 |   23687094 |   23064412 |   24210114 |  175508271 |  181820605 |  169928898 |  176196872 |    2507494
    num cache misses                 |     169867 |     334380 |      36435 |      36417 |      74948 |      36348 |      44423 |      48949 |      47790 |      49794 |    3297485 |    2619236 |    3183003 |    2452926 |      26504
    miss rate                        |      3.51% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.88% |      1.44% |      1.87% |      1.39% |      1.06%
    mpki                             |      17.52 |      75.81 |       0.43 |       0.43 |       0.44 |       0.43 |       0.49 |       0.48 |       0.48 |       0.48 |       9.18 |       7.03 |       9.11 |       6.74 |       5.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     237065 |     377952 |      37196 |      37364 |      76949 |      37074 |      47183 |      51560 |      51398 |      52476 |    3321501 |    2639623 |    3207360 |    2471350 |      35359
    num cache misses                 |     159211 |     333509 |      36466 |      36597 |      74971 |      36403 |      45691 |      49351 |      49180 |      50459 |     107603 |     101914 |     105744 |      98339 |      18180
    miss rate                        |     67.16% |     88.24% |     98.04% |     97.95% |     97.43% |     98.19% |     96.84% |     95.72% |     95.68% |     96.16% |      3.24% |      3.86% |      3.30% |      3.98% |     51.42%
    mpki                             |      16.42 |      75.62 |       0.43 |       0.44 |       0.44 |       0.43 |       0.51 |       0.49 |       0.50 |       0.49 |       0.30 |       0.27 |       0.30 |       0.27 |       3.97
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     224568 |     376615 |      36816 |      36905 |      75919 |      36730 |      46485 |      50968 |      50692 |      52011 |     109302 |     104222 |     107780 |     100037 |      26518
    num cache misses                 |     156491 |     332926 |      35112 |      29157 |      10550 |      34971 |       3950 |      48178 |      46468 |      49004 |      55051 |      58419 |      69459 |      49728 |      16827
    miss rate                        |     69.69% |     88.40% |     95.37% |     79.01% |     13.90% |     95.21% |      8.50% |     94.53% |     91.67% |     94.22% |     50.37% |     56.05% |     64.45% |     49.71% |     63.46%
    mpki                             |      16.14 |      75.48 |       0.42 |       0.35 |       0.06 |       0.41 |       0.04 |       0.48 |       0.47 |       0.47 |       0.15 |       0.16 |       0.20 |       0.14 |       3.68
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     349394 |          0 |          0 |          0 |          0 |          0 |          0 |     349408 |          0 |          0 |          0 |          0 |          0 |          0 |     349336
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.26
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75733 |     208939 |      33095 |      27364 |       6373 |      33094 |       1817 |       1509 |       1433 |       1504 |        547 |       1055 |        410 |        894 |       3275
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3951 |          1 |        447 |        428 |       1399 |        434 |        454 |      44009 |      42770 |      44852 |       8155 |       8440 |      24314 |       3601 |       9105
