                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
    num cache misses                 |       1991 |        556 |       1849 |        654 |       1537 |       4207 |      45529 |      44977 |        634
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.04% |      0.05% |      0.05% |      0.10%
    mpki                             |       0.21 |       0.12 |       0.01 |       0.01 |       0.01 |       0.02 |       0.06 |       0.06 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811992 |    3882374 |  229316121 |   56849241 |   45641976 |   46505582 |  355423273 |  348023486 |    2481699
    num cache misses                 |     170731 |     334384 |     146536 |      36373 |      93841 |      95996 |    6581331 |    6516467 |      22930
    miss rate                        |      3.55% |      8.61% |      0.06% |      0.06% |      0.21% |      0.21% |      1.85% |      1.87% |      0.92%
    mpki                             |      17.69 |      74.95 |       0.43 |       0.43 |       0.48 |       0.48 |       9.06 |       9.07 |       5.06
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     236818 |     394894 |     150003 |      37322 |      96866 |     103345 |    6629922 |    6564347 |      26644
    num cache misses                 |     161017 |     333598 |     146111 |      36546 |      94528 |      98439 |     208529 |     193262 |      17007
    miss rate                        |     67.99% |     84.48% |     97.41% |     97.92% |     97.59% |     95.25% |      3.15% |      2.94% |     63.83%
    mpki                             |      16.68 |      74.78 |       0.43 |       0.43 |       0.48 |       0.50 |       0.29 |       0.27 |       3.75
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     225118 |     393553 |     147815 |      36845 |      96016 |     101582 |     211718 |     196353 |      20090
    num cache misses                 |     154203 |     332948 |     114795 |      34926 |       7220 |      94268 |     136897 |     118382 |       5548
    miss rate                        |     68.50% |     84.60% |     77.66% |     94.79% |      7.52% |     92.80% |     64.66% |     60.29% |     27.62%
    mpki                             |      15.97 |      74.63 |       0.34 |       0.41 |       0.04 |       0.47 |       0.19 |       0.16 |       1.22
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     547302 |          0 |          0 |          0 |          0 |     547172 |          0 |          0 |          0
  average dram access latency (ns)   |      61.27 |        inf |        inf |        inf |        inf |      61.26 |        inf |        inf |        inf
  average dram queueing delay        |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      73612 |     225785 |     105502 |      32994 |       3793 |       2769 |        820 |        686 |       4219
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3981 |          4 |       2475 |        408 |        497 |      86222 |      46243 |      40557 |         91
