                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
    mpki                             |      17.53 |      75.01 |       0.43 |       0.43 |       0.48 |       0.48 |       6.83 |       7.01 |       4.45
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235161 |     394675 |      36719 |     148029 |     101788 |      98566 |    4929979 |    5148121 |      24381
    num cache misses                 |     158804 |     333507 |      36108 |     144592 |      98597 |      94611 |     175350 |     188969 |      16224
    miss rate                        |     67.53% |     84.50% |     98.34% |     97.68% |     96.87% |     95.99% |      3.56% |      3.67% |     66.54%
    mpki                             |      16.45 |      74.81 |       0.43 |       0.43 |       0.50 |       0.48 |       0.24 |       0.26 |       3.54
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     222956 |     393334 |      36396 |     146342 |     100049 |      97661 |     178559 |     191822 |      19753
    num cache misses                 |     154361 |     332926 |      34885 |     110459 |       7086 |      92692 |     140617 |     120522 |       6644
    miss rate                        |     69.23% |     84.64% |     95.85% |     75.48% |      7.08% |     94.91% |     78.75% |     62.83% |     33.64%
    mpki                             |      15.99 |      74.68 |       0.41 |       0.32 |       0.04 |       0.47 |       0.20 |       0.17 |       1.45
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     547545 |          0 |          0 |          0 |          0 |     547464 |          0 |          0 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |      61.30 |        inf |        inf |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      73681 |     225659 |      33008 |     101308 |       3581 |       2863 |        825 |       1482 |       4789
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4007 |          3 |        377 |       2450 |        545 |      84612 |      59607 |      28542 |        343
