                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836379 |    3848698 |  115948860 |   56848739 |   56691904 |   56681309 |   22749663 |   22956577 |   22518939 |   23929511 |  183452317 |  163734302 |  166032989 |  190234146 |    2503914
    num misses                       |      16948 |       5335 |       1213 |        598 |        592 |        587 |       2172 |       2219 |       2180 |       2237 |      24451 |      19207 |      26225 |      21701 |       5221
    miss rate                        |      0.35% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.21%
    mpki                             |       1.75 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.06 |       0.08 |       0.06 |       1.14
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      17062 |       5371 |       1245 |        630 |        627 |        621 |       2211 |       2258 |       2219 |       2276 |      24497 |      19247 |      26272 |      21741 |       5262
    num misses                       |       6839 |       5325 |       1197 |        616 |        619 |        615 |       1762 |       1729 |       1756 |       1817 |       2221 |       1713 |       1811 |       2094 |       2323
    miss rate                        |     40.08% |     99.14% |     96.14% |     97.78% |     98.72% |     99.03% |     79.69% |     76.57% |     79.13% |     79.83% |      9.07% |      8.90% |      6.89% |      9.63% |     44.15%
    mpki                             |       0.71 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529898 |     430469 |   13010372 |    6367473 |    6352512 |    6347312 |    5473725 |    5523848 |    5418101 |    5757763 |   42817746 |   39300990 |   39408270 |   43332464 |     619393
    num cache misses                 |       2023 |        466 |       1059 |        400 |        409 |        405 |       1867 |       1879 |       1872 |        979 |      20388 |      26646 |      25649 |      19962 |        409
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.03% |      0.03% |      0.02% |      0.05% |      0.07% |      0.07% |      0.05% |      0.07%
    mpki                             |       0.21 |       0.11 |       0.01 |       0.00 |       0.00 |       0.00 |       0.02 |       0.02 |       0.02 |       0.01 |       0.05 |       0.08 |       0.07 |       0.05 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836379 |    3848698 |  115948860 |   56848739 |   56691904 |   56681309 |   22749663 |   22956577 |   22518939 |   23929511 |  183452317 |  163734302 |  166032989 |  190234146 |    2503914
    num cache misses                 |     174057 |     334387 |      74990 |      36329 |      36390 |      36131 |      47464 |      47430 |      46935 |      49361 |    2662845 |    2930907 |    3028136 |    2809620 |      23620
    miss rate                        |      3.60% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.45% |      1.79% |      1.82% |      1.48% |      0.94%
    mpki                             |      17.95 |      75.81 |       0.44 |       0.43 |       0.43 |       0.43 |       0.49 |       0.48 |       0.49 |       0.48 |       7.08 |       8.58 |       8.77 |       7.35 |       5.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     241421 |     377959 |      76970 |      37057 |      37140 |      36866 |      50132 |      50777 |      50391 |      51922 |    2685411 |    2959256 |    3055435 |    2831675 |      32359
    num cache misses                 |     162439 |     333515 |      75009 |      36391 |      36428 |      36216 |      48812 |      48886 |      48318 |      49972 |     108362 |     101780 |     101731 |     111227 |      16907
    miss rate                        |     67.28% |     88.24% |     97.45% |     98.20% |     98.08% |     98.24% |     97.37% |     96.28% |     95.89% |     96.24% |      4.04% |      3.44% |      3.33% |      3.93% |     52.25%
    mpki                             |      16.75 |      75.62 |       0.44 |       0.43 |       0.43 |       0.43 |       0.50 |       0.50 |       0.50 |       0.49 |       0.29 |       0.30 |       0.29 |       0.29 |       3.70
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227784 |     376622 |      75942 |      36719 |      36769 |      36546 |      49613 |      50355 |      49902 |      51554 |     110673 |     103546 |     103421 |     113380 |      25237
    num cache misses                 |     156465 |     332928 |      17085 |      35008 |      35154 |      32500 |       3994 |      46343 |      45644 |      48686 |      66372 |      47158 |      47797 |      81058 |      16905
    miss rate                        |     68.69% |     88.40% |     22.50% |     95.34% |     95.61% |     88.93% |      8.05% |     92.03% |     91.47% |     94.44% |     59.97% |     45.54% |     46.22% |     71.49% |     66.98%
    mpki                             |      16.14 |      75.48 |       0.10 |       0.42 |       0.42 |       0.39 |       0.04 |       0.47 |       0.47 |       0.48 |       0.18 |       0.14 |       0.14 |       0.21 |       3.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     359537 |          0 |          0 |          0 |          0 |          0 |          0 |     359437 |          0 |          0 |          0 |          0 |          0 |          0 |     359539
  average dram access latency (ns)   |      61.26 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75718 |     208941 |      12800 |      33082 |      33075 |      30666 |       1849 |       1442 |       1481 |       1517 |        969 |        531 |        576 |        826 |       3258
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4001 |          1 |       1402 |        446 |        467 |        449 |        420 |      42583 |      41750 |      44428 |      11618 |       6871 |       5071 |      23959 |       9124
