                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836734 |    3838163 |   56692453 |   56681758 |  115948436 |   56849098 |   22549193 |   22789631 |   23326660 |   23489138 |  194097270 |  179383799 |  167769419 |  162211581 |    2497633
    num misses                       |      13759 |       5336 |        598 |        592 |       1160 |        590 |       2074 |       2219 |       2226 |       2288 |      22533 |      20215 |      18863 |      19535 |       3806
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.15%
    mpki                             |       1.42 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.05 |       0.05 |       0.06 |       0.83
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13872 |       5372 |        633 |        624 |       1192 |        624 |       2113 |       2258 |       2265 |       2326 |      22579 |      20263 |      18903 |      19575 |       3847
    num misses                       |       5835 |       5325 |        627 |        621 |       1188 |        617 |       1706 |       1761 |       1788 |       1805 |       2231 |       2067 |       1676 |       1675 |       2266
    miss rate                        |     42.06% |     99.13% |     99.05% |     99.52% |     99.66% |     98.88% |     80.74% |     77.99% |     78.94% |     77.60% |      9.88% |     10.20% |      8.87% |      8.56% |     58.90%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.00 |       0.00 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529909 |     430473 |    6352665 |    6347436 |   13010269 |    6367476 |    5425575 |    5483507 |    5612687 |    5651682 |   44232346 |   42227124 |   39468690 |   38933233 |     618368
    num cache misses                 |       1845 |        463 |        412 |        400 |       1071 |        652 |       1863 |       1979 |        845 |       1054 |      20655 |      21511 |      25893 |      24575 |        721
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.04% |      0.02% |      0.02% |      0.05% |      0.05% |      0.07% |      0.06% |      0.12%
    mpki                             |       0.19 |       0.11 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.05 |       0.06 |       0.08 |       0.07 |       0.16
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836734 |    3838163 |   56692453 |   56681758 |  115948436 |   56849098 |   22549193 |   22789631 |   23326660 |   23489138 |  194097270 |  179383799 |  167769419 |  162211581 |    2497633
    num cache misses                 |     169770 |     334384 |      36434 |      36173 |      74926 |      36622 |      46693 |      47519 |      48269 |      48529 |    2850721 |    2539090 |    3108050 |    3009878 |      24718
    miss rate                        |      3.51% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.47% |      1.42% |      1.85% |      1.86% |      0.99%
    mpki                             |      17.51 |      76.09 |       0.43 |       0.43 |       0.44 |       0.43 |       0.48 |       0.49 |       0.48 |       0.48 |       7.29 |       6.88 |       9.01 |       8.84 |       5.42
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235854 |     372685 |      37214 |      36880 |      76879 |      37592 |      49284 |      50280 |      50773 |      51203 |    2872909 |    2562231 |    3135454 |    3035915 |      28841
    num cache misses                 |     159217 |     333509 |      36475 |      36242 |      74944 |      36799 |      48104 |      49023 |      48772 |      49246 |     112076 |     103537 |      98521 |      97915 |      17228
    miss rate                        |     67.51% |     89.49% |     98.01% |     98.27% |     97.48% |     97.89% |     97.61% |     97.50% |     96.06% |     96.18% |      3.90% |      4.04% |      3.14% |      3.23% |     59.73%
    mpki                             |      16.42 |      75.89 |       0.43 |       0.43 |       0.44 |       0.44 |       0.50 |       0.50 |       0.49 |       0.49 |       0.29 |       0.28 |       0.29 |       0.29 |       3.78
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     223461 |     371348 |      36843 |      36549 |      75839 |      37117 |      48832 |      49805 |      50431 |      50866 |     113665 |     105232 |     100125 |      99418 |      20634
    num cache misses                 |     154707 |     332939 |      35137 |      27450 |      11639 |      34956 |       3464 |       3866 |      47559 |      48005 |      70779 |      72459 |      69369 |      63351 |       6084
    miss rate                        |     69.23% |     89.66% |     95.37% |     75.10% |     15.35% |     94.18% |      7.09% |      7.76% |     94.31% |     94.38% |     62.27% |     68.86% |     69.28% |     63.72% |     29.49%
    mpki                             |      15.95 |      75.76 |       0.42 |       0.33 |       0.07 |       0.41 |       0.04 |       0.04 |       0.48 |       0.48 |       0.18 |       0.20 |       0.20 |       0.19 |       1.33
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     527608 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     527655 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74658 |     203670 |      33089 |      25788 |       7588 |      33069 |       1758 |       1864 |       1509 |       1506 |        996 |        795 |        307 |        395 |       4543
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3265 |          3 |        448 |        381 |       1292 |        421 |        351 |        379 |      43390 |      43647 |      15147 |      22099 |      27572 |      21144 |        171
